year,area_code,borough,nightly_paid,leased,hostels,bed_and_breakfast,la_ha_stock,other_ta,ta_admin,prevention,total_homelessness,ta_total
2022-23,E09000027,Richmond upon Thames,2130000.0,736000.0,230000.0,517000.0,0.0,316000.0,1113000.0,1665000.0,8308000.0,3929000.0
2022-23,E09000028,Southwark,0.0,1930000.0,0.0,4776000.0,0.0,8036000.0,8554000.0,9000.0,23305000.0,14742000.0
2022-23,E09000029,Sutton,0.0,465000.0,0.0,3435000.0,0.0,0.0,0.0,0.0,3900000.0,3900000.0
2022-23,E09000030,Tower Hamlets,2765000.0,4587000.0,0.0,-150000.0,-5759000.0,4194000.0,3091000.0,6777000.0,15961000.0,5637000.0
2022-23,E09000031,Waltham Forest,3289000.0,1067000.0,0.0,1273000.0,0.0,826000.0,1202000.0,5019000.0,12990000.0,6455000.0
2022-23,E09000032,Wandsworth,9895000.0,4154000.0,18000.0,1764000.0,0.0,19000.0,0.0,3469000.0,21987000.0,15850000.0
2022-23,E09000033,Westminster,7654000.0,11373000.0,0.0,1445000.0,-4556000.0,0.0,0.0,0.0,23912000.0,15916000.0
2023-24,E09000002,Barking and Dagenham,0.0,4137000.0,-1348000.0,0.0,-783000.0,0.0,2880000.0,2608000.0,7494000.0,2006000.0
2023-24,E09000003,Barnet,3350000.0,0.0,0.0,0.0,-388000.0,4211000.0,0.0,6174000.0,13346000.0,7173000.0
2023-24,E09000004,Bexley,3007000.0,2519000.0,834000.0,0.0,-859000.0,0.0,2263000.0,0.0,11072000.0,5501000.0
2023-24,E09000005,Brent,2087000.0,15579000.0,0.0,15745000.0,-314000.0,0.0,0.0,15981000.0,49078000.0,33097000.0
2023-24,E09000006,Bromley,12137000.0,2153000.0,0.0,0.0,34000.0,0.0,0.0,1228000.0,21741000.0,14324000.0
2023-24,E09000007,Camden,13385000.0,0.0,1923000.0,5456000.0,0.0,0.0,0.0,0.0,27851000.0,20764000.0
2023-24,E09000001,City of London,0.0,0.0,0.0,423000.0,0.0,0.0,0.0,4971000.0,5394000.0,423000.0
2023-24,E09000008,Croydon,9342000.0,6018000.0,-254000.0,3601000.0,-169000.0,2100000.0,631000.0,5053000.0,27571000.0,20638000.0
2023-24,E09000009,Ealing,-302000.0,4035000.0,-41000.0,5202000.0,15000.0,0.0,0.0,14743000.0,23652000.0,8909000.0
2023-24,E09000010,Enfield,24326000.0,1518000.0,0.0,0.0,0.0,0.0,2040000.0,2386000.0,32228000.0,25844000.0
2023-24,E09000011,Greenwich,7521000.0,249000.0,0.0,9458000.0,-4987000.0,0.0,1346000.0,1923000.0,16499000.0,12241000.0
2023-24,E09000012,Hackney,11300000.0,2282000.0,6043000.0,639000.0,0.0,0.0,0.0,12712000.0,34620000.0,20264000.0
2023-24,E09000013,Hammersmith and Fulham,0.0,7170000.0,0.0,4240000.0,0.0,0.0,702000.0,4342000.0,18505000.0,11410000.0
2023-24,E09000014,Haringey,7152000.0,4215000.0,25000.0,3969000.0,275000.0,1290000.0,4358000.0,812000.0,23214000.0,16926000.0
